A,B,C,D,E,F,G,SpecificSE,Step_1__History_Max__ALLSE,Step_1__History_Max__MASS,Design Feasibility,Objective and Penalty
126,0.471044416,2.340039776,0.107971165,3.432473302,0.280841939,0.269267944,0.249634658,362868339.9,10.1667,2.80176E-08,7,-362868339.9
127,0.180725591,1.838906675,0.381181223,2.354518309,0.296121172,0.208951232,0.22255278,395783061.6,11.7601,2.97135E-08,7,-395783061.6
128,1.479414884,1.76037357,0.230949636,2.629001102,0.152459103,0.170430895,0.29358605,384170487.4,7.13055,1.85609E-08,7,-384170487.4
129,1.00577527,2.841214609,0.446260661,2.796174904,0.122085536,0.242493865,0.254714797,313034666.4,3.39796,1.08549E-08,7,-313034666.4
130,0.495206254,1.521143777,0.129703616,3.347614845,0.285597393,0.179710401,0.126977907,408388183.6,11.4909,2.81372E-08,7,-408388183.6
131,0.995171545,2.336256176,0.449238879,2.545318022,0.140112588,0.155697028,0.157780996,346539441.8,4.90835,1.41639E-08,7,-346539441.8
132,0.730474873,2.943155732,0.446260661,2.4593618,0.10928805,0.179783817,0.127421461,301551718.8,2.55316,8.46674E-09,7,-301551718.8
133,0.919824955,1.674440564,0.433831235,2.264590922,0.141910822,0.188302004,0.249955683,379172402.4,6.85866,1.80885E-08,7,-379172402.4
134,0.220911428,1.612560873,0.474560932,2.22782701,0.173596071,0.131683041,0.196779537,385889929.7,7.64556,1.98128E-08,7,-385889929.7
135,0.480835699,1.799228944,0.117868815,2.200555884,0.240083514,0.269305445,0.258231238,394518269.2,10.0556,2.54883E-08,7,-394518269.2
136,0.482574375,1.522393697,0.087899824,3.432473302,0.280841939,0.270576887,0.257027184,416765646.7,14.1757,3.40136E-08,7,-416765646.7
137,1.058075935,2.939392385,0.446260661,2.462874441,0.120646158,0.179783817,0.127794315,305839633,2.87125,9.38809E-09,7,-305839633
138,0.508591781,1.522393697,0.129703616,3.330005762,0.264259074,0.275689636,0.257908611,411085443.4,13.7201,3.33753E-08,7,-411085443.4
139,1.00577527,2.825430449,0.445991413,2.462017904,0.122085536,0.17976511,0.15736152,310550689.9,3.06857,9.88106E-09,7,-310550689.9
140,0.719781949,2.439678359,0.43939951,2.542092897,0.105987393,0.1759595,0.129128357,332027966.8,3.52368,1.06126E-08,7,-332027966.8
141,0.480835699,1.657636111,0.080550884,4.147330569,0.254017359,0.23557807,0.120893879,417809147.2,13.2598,3.17365E-08,7,-417809147.2
142,1.243611032,1.776489619,0.080426715,2.205888589,0.195808613,0.160855391,0.247149016,389215127.7,7.99335,2.05371E-08,7,-389215127.7
143,0.757267983,2.943155732,0.446260661,2.4593618,0.10928805,0.179783817,0.128777821,301682374.5,2.55566,8.47136E-09,7,-301682374.5
